"To create new subject you have to be logged.","Чтобы создать новую тему, вы должны быть авторезированы."
"Please login.","Пожалйста, войдите."
"Create your subject","Создайте тему"
"To create new message you have to be logged.","Чтобы создать новое сообщение, вы должны быть авторезированы."
"Edit Message","Редактирование сообщения"
"Edit Subject","Редактирование темы"
"The message sucefully saved","Сообщение успешно сохранено"
"The subject you can create in 15 seconds","Новую тему вы сможете создать в течении 15 секунд"
"The message you can create or modify in 15 seconds","Сообщение сможете создать в течении 15 секунд"
"Message should not be empty","Сообщение не может быть путо"
"The subject was sucefully saved","Тема успешно сохранена"